volume_lookback,high_volume_percentile_threshold,atr_length,max_displacement_atr,near_vwap_threshold_atr,reversal_horizon_bars,trade_count,hit_rate,expectancy_after_cost,profit_factor,max_drawdown,validation_status,passes_hard_filters
150,90.0,40,0.4,0.1,10,2798,0.7208720514653324,-2.967705403828145,0.9194349361349489,-11123.84197744599,CANDIDATE,False
150,90.0,40,0.4,0.1,15,2798,0.7390993566833453,-2.217351516882033,0.9420308381757914,-8845.788073557185,CANDIDATE,False
150,90.0,40,0.4,0.1,20,2798,0.7530378842030021,-3.266990573880276,0.9212624176259355,-12847.395879353804,CANDIDATE,False
150,90.0,40,0.4,0.25,5,2409,0.6488169364881694,-0.016707747537518938,0.9994905935994396,-4718.947783695323,CANDIDATE,False
150,90.0,40,0.4,0.25,10,2409,0.6841012868410129,-3.5730256112886862,0.9138870622020464,-11497.352708477412,CANDIDATE,False
150,90.0,40,0.4,0.25,15,2409,0.7040265670402657,-2.6702443706460874,0.9380257364142162,-9347.98897155581,CANDIDATE,False
150,90.0,40,0.4,0.25,20,2409,0.7198007471980075,-3.7624915332921716,0.9194722416612173,-12974.743216808925,CANDIDATE,False
150,90.0,40,0.4,0.5,5,1881,0.5986177565124934,0.6628032062975775,1.0180736995389386,-4232.885059512131,CANDIDATE,True
150,90.0,40,0.4,0.5,10,1881,0.631578947368421,-3.370442246678537,0.9282913017571178,-10347.5990294941,CANDIDATE,False
150,90.0,40,0.4,0.5,15,1881,0.6544391281233386,-1.6467723512502668,0.9659561833131649,-7377.812227979941,CANDIDATE,False
150,90.0,40,0.4,0.5,20,1881,0.6735778841041999,-2.7393826462317232,0.9480393804636434,-10834.4307971894,CANDIDATE,False
150,90.0,40,0.4,0.75,5,1508,0.5649867374005305,0.8839868120891133,1.0224743041352518,-4616.40746485039,CANDIDATE,True
150,90.0,40,0.4,0.75,10,1508,0.5948275862068966,-3.426602802997076,0.9324913182535361,-9136.84277521684,CANDIDATE,False
150,90.0,40,0.4,0.75,15,1508,0.616710875331565,-1.0395490885416054,0.9799741952003584,-7268.142778493197,CANDIDATE,False
150,90.0,40,0.4,0.75,20,1508,0.6392572944297082,-1.7784433831250848,0.9686214578180085,-8002.399052051836,CANDIDATE,False
150,90.0,40,0.5,0.1,5,3546,0.6844331641285956,-0.8008502013909834,0.9733073770049447,-7796.656075911267,CANDIDATE,False
150,90.0,40,0.5,0.1,10,3546,0.7168640721940215,-2.907870179563686,0.9210596444173981,-14701.502717722813,CANDIDATE,False
150,90.0,40,0.5,0.1,15,3546,0.7360406091370558,-2.1638241143971197,0.9439636281269125,-12549.359124200593,CANDIDATE,False
150,90.0,40,0.5,0.1,20,3546,0.7492949802594473,-2.4985158120464197,0.9394791564433961,-17025.5812688854,CANDIDATE,False
150,90.0,40,0.5,0.25,5,3082,0.6479558728098638,-0.7050422770101148,0.9786570118234842,-7135.298899250185,CANDIDATE,False
150,90.0,40,0.5,0.25,10,3082,0.6826735885788449,-3.199757002713002,0.9218052270530702,-14277.47895841795,CANDIDATE,False
150,90.0,40,0.5,0.25,15,3082,0.7037637897469176,-2.32720762564829,0.9457985263886887,-12592.423207428457,CANDIDATE,False
150,90.0,40,0.5,0.25,20,3082,0.718689162881246,-2.6413380906702724,0.9424980822665252,-16709.173044031988,CANDIDATE,False
150,90.0,40,0.5,0.5,5,2417,0.5978485726106744,-0.3094039250633787,0.9916327261175805,-6378.312105856439,CANDIDATE,False
150,90.0,40,0.5,0.5,10,2417,0.6297062474141498,-3.190747374149862,0.9313124112389873,-13269.379980768323,CANDIDATE,False
150,90.0,40,0.5,0.5,15,2417,0.654530409598676,-1.548993032111799,0.9680050919650799,-9719.364485048687,CANDIDATE,False
150,90.0,40,0.5,0.5,20,2417,0.6723210591642532,-1.4470332284343903,0.9720185985365106,-12907.023983099674,CANDIDATE,False
150,90.0,40,0.5,0.75,5,1945,0.5660668380462724,-0.09218126115894688,0.9976686489440979,-6361.850167157805,CANDIDATE,False
150,90.0,40,0.5,0.75,10,1945,0.596401028277635,-2.6222883689917285,0.9471687957107234,-10833.829349567812,CANDIDATE,False
150,90.0,40,0.5,0.75,15,1945,0.6195372750642674,-0.4609671123238719,0.9910692428869693,-9085.349119185628,CANDIDATE,False
150,90.0,40,0.5,0.75,20,1945,0.6401028277634961,0.07904622606500637,1.0014303049529396,-9272.437888631126,CANDIDATE,True
150,90.0,60,0.2,0.1,5,1303,0.70376055257099,0.07405189002999207,1.0026329830327336,-2936.496488433564,CANDIDATE,True
150,90.0,60,0.2,0.1,10,1303,0.7336914811972371,-3.1426105543382903,0.9110459550256818,-4321.261897358965,CANDIDATE,False
150,90.0,60,0.2,0.1,15,1303,0.7498081350729087,-2.7149991306297476,0.9258627575373698,-4146.904200170691,CANDIDATE,False
150,90.0,60,0.2,0.1,20,1303,0.7666922486569455,-3.352111074471056,0.9144164213138739,-5341.3486724345385,CANDIDATE,False
150,90.0,60,0.2,0.25,5,1120,0.6633928571428571,-0.24000377670887799,0.9924362527986847,-3111.1748827082392,CANDIDATE,False
150,90.0,60,0.2,0.25,10,1120,0.6955357142857143,-3.975798283055081,0.900789954503956,-4748.206821369473,CANDIDATE,False
150,90.0,60,0.2,0.25,15,1120,0.7133928571428572,-3.2979427855249486,0.9203120486756138,-4245.073383023355,CANDIDATE,False
150,90.0,60,0.2,0.25,20,1120,0.7330357142857142,-3.862368555904613,0.912559573443298,-5406.458454659991,CANDIDATE,False
150,90.0,60,0.2,0.5,5,856,0.6074766355140186,0.47185592478644495,1.013151707719167,-2556.0093106716668,CANDIDATE,True
150,90.0,60,0.2,0.5,10,856,0.6413551401869159,-3.831941881338361,0.9167201805056076,-4352.009692783267,CANDIDATE,False
150,90.0,60,0.2,0.5,15,856,0.6623831775700935,-2.3434126344665844,0.950224287466417,-3680.0437126874895,CANDIDATE,False
150,90.0,60,0.2,0.5,20,856,0.6857476635514018,-2.864012415857855,0.9432520947658224,-5050.274452497539,CANDIDATE,False
150,90.0,60,0.2,0.75,5,680,0.5705882352941176,0.3383475516508818,1.0086374717544242,-2715.677088489225,CANDIDATE,True
150,90.0,60,0.2,0.75,10,680,0.6014705882352941,-5.298770373887116,0.897083336306444,-4616.740726737062,CANDIDATE,False
150,90.0,60,0.2,0.75,15,680,0.6205882352941177,-2.2479117552543624,0.956330652832632,-3538.2726672866556,CANDIDATE,False
150,90.0,60,0.2,0.75,20,680,0.6470588235294118,-2.6732110823843653,0.9517662977678943,-4319.357718687763,CANDIDATE,False
150,90.0,60,0.3,0.1,5,1974,0.7006079027355623,0.010944442301154926,1.000381715415783,-5736.031337631299,CANDIDATE,True
150,90.0,60,0.3,0.1,10,1974,0.7350557244174265,-2.2219380836125575,0.9365881032977268,-7535.594012280579,CANDIDATE,False
150,90.0,60,0.3,0.1,15,1974,0.7512664640324215,-1.9710325803302924,0.9463179912309496,-6965.3528530546555,CANDIDATE,False
150,90.0,60,0.3,0.1,20,1974,0.7669706180344478,-2.47025106255373,0.9370173322034155,-7564.809197130282,CANDIDATE,False
150,90.0,60,0.3,0.25,5,1706,0.6617819460726846,-0.11781854086058267,0.9963274542169166,-5448.388817033097,CANDIDATE,False
150,90.0,60,0.3,0.25,10,1706,0.6998827667057445,-2.826780315918932,0.928534569962097,-7562.877793064532,CANDIDATE,False
150,90.0,60,0.3,0.25,15,1706,0.7174677608440797,-2.4878932883960463,0.939948131667511,-7233.769775586723,CANDIDATE,False
150,90.0,60,0.3,0.25,20,1706,0.735052754982415,-2.9945114696635713,0.9323328026167299,-8230.645776816302,CANDIDATE,False
150,90.0,60,0.3,0.5,5,1325,0.6083018867924528,0.09981994044506826,1.0027344536442047,-4692.921285236393,CANDIDATE,True
150,90.0,60,0.3,0.5,10,1325,0.6490566037735849,-2.2173361707275543,0.9504641641171133,-6456.741996872966,CANDIDATE,False
150,90.0,60,0.3,0.5,15,1325,0.670188679245283,-1.3398839842803576,0.9713112441353607,-6037.0855022647065,CANDIDATE,False
150,90.0,60,0.3,0.5,20,1325,0.6913207547169812,-1.769519582233641,0.9646759908329317,-7040.260872023815,CANDIDATE,False
150,90.0,60,0.3,0.75,5,1065,0.568075117370892,-0.7519974162634172,0.981372131872945,-5385.936385557596,CANDIDATE,False
150,90.0,60,0.3,0.75,10,1065,0.6065727699530516,-3.880805743677822,0.9226706933529748,-7232.380450862114,CANDIDATE,False
150,90.0,60,0.3,0.75,15,1065,0.6262910798122066,-1.9765921545080414,0.96165173208939,-6177.354867189517,CANDIDATE,False
150,90.0,60,0.3,0.75,20,1065,0.6507042253521127,-2.1116506492175016,0.9618169047944475,-6070.686931669488,CANDIDATE,False
150,90.0,60,0.4,0.1,5,2633,0.6938853019369541,-0.760766686295013,0.9742428015839992,-6002.360964792571,CANDIDATE,False
150,90.0,60,0.4,0.1,10,2633,0.726927459172047,-3.3508130885721537,0.9080706362529842,-11047.896700819249,CANDIDATE,False
150,90.0,60,0.4,0.1,15,2633,0.7443980250664641,-2.5998915199552313,0.9313781050749108,-9960.030038443158,CANDIDATE,False
150,90.0,60,0.4,0.1,20,2633,0.757690846942651,-3.6529413157326203,0.9111236880029201,-14001.854633982242,CANDIDATE,False
150,90.0,60,0.4,0.25,5,2278,0.6549604916593503,-0.9563257243098322,0.9709636530851853,-5992.56193379489,CANDIDATE,False
150,90.0,60,0.4,0.25,10,2278,0.6909569798068481,-4.172669951047128,0.8984846167973839,-11781.697304357598,CANDIDATE,False
150,90.0,60,0.4,0.25,15,2278,0.7102721685689201,-3.199434527147564,0.9249783904925692,-10575.083137600195,CANDIDATE,False
150,90.0,60,0.4,0.25,20,2278,0.7251975417032485,-4.309185820218326,0.9068341625369448,-14247.524165370629,CANDIDATE,False
150,90.0,60,0.4,0.5,5,1779,0.6025857223159078,-0.7588945806562395,0.9796892861700975,-5697.958193910044,CANDIDATE,False
